ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
WEC,2016-09-22,2016-09-23,2016-09-28,45.6681,44.3973,-2.7826,-3.2826,stop,3,1.1819,-2.7791,1.5295,59.8,25.07,0.8527
CMI,2016-09-22,2016-09-23,2016-10-05,94.4263,101.2017,7.1753,6.6753,target,8,7.9993,-1.5256,1.7841,52.62,28.18,0.8919
SRE,2016-09-22,2016-09-23,2016-09-29,40.4801,39.6206,-2.1232,-2.6232,time_loss,4,1.7114,-2.3612,1.6506,62.68,32.7,0.8601
AEE,2016-09-23,2016-09-26,2016-09-28,39.0099,37.9281,-2.7733,-3.2733,stop,2,0.4256,-3.6951,1.5288,63.84,27.92,0.8655
O,2016-09-26,2016-09-27,2016-10-03,42.0861,40.6726,-3.3584,-3.8584,stop,4,0.2319,-5.0271,1.872,60.95,26.52,0.8789
WDAY,2016-09-30,2016-10-03,2016-10-07,91.56,91.04,-0.5679,-1.0679,time_loss,4,1.5727,-1.5509,1.9945,64.84,25.88,0.9829
LRCX,2016-10-05,2016-10-06,2016-10-11,8.6676,8.6547,-0.1488,-0.6488,stop,3,3.6318,-1.042,1.7408,64.68,28.65,0.9903
IDXX,2016-10-07,2016-10-10,2016-10-12,115.47,112.1871,-2.8431,-3.3431,stop,2,2.0525,-3.3775,1.5711,64.64,25.15,0.9962
GEN,2016-10-27,2016-10-28,2016-11-04,11.8709,11.1938,-5.704,-6.204,stop,5,3.4105,-7.5924,1.5771,56.38,27.12,0.9295
MRK,2016-11-09,2016-11-10,2016-11-16,45.6477,44.2968,-2.9594,-3.4594,time_loss,4,1.4255,-3.2383,2.1971,64.16,26.57,0.9549
IQV,2016-11-09,2016-11-10,2016-11-16,78.1,77.31,-1.0115,-1.5115,time_loss,4,0.7298,-2.2663,2.1459,62.95,26.2,0.8574
XYL,2016-11-09,2016-11-10,2016-11-25,45.5091,46.818,2.8762,2.3762,stop,10,7.6125,-0.0391,2.0999,62.13,25.29,0.8894
STX,2016-11-11,2016-11-14,2016-12-05,24.954,25.0843,0.522,0.022,stop,14,10.2826,0.0,3.4938,64.89,29.44,0.902
ALGN,2016-11-15,2016-11-16,2016-11-30,93.42,93.05,-0.3961,-0.8961,time_loss,9,5.5663,-1.1882,2.9206,64.09,26.94,0.9255
CHTR,2016-12-07,2016-12-08,2016-12-29,285.4,292.19,2.3791,1.8791,time,14,3.3182,-3.5249,2.7232,63.4,34.0,0.977
NFLX,2017-01-04,2017-01-05,2017-01-12,12.922,12.918,-0.031,-0.531,time_loss,5,3.6062,-0.5572,2.3451,64.61,26.57,0.9849
AKAM,2017-01-05,2017-01-06,2017-01-19,69.38,68.98,-0.5765,-1.0765,time_loss,8,3.2574,-0.663,2.0208,64.31,25.27,0.9529
CCL,2017-01-10,2017-01-11,2017-01-18,48.2,47.5874,-1.2709,-1.7709,time_loss,4,0.7368,-3.0208,1.7635,64.18,26.52,0.9599
LRCX,2017-01-13,2017-01-17,2017-01-27,9.7162,10.4749,7.8082,7.3082,target,8,7.9851,-1.6949,1.9483,63.93,30.51,0.9886
WAB,2017-01-17,2017-01-18,2017-01-24,82.3221,81.7262,-0.7239,-1.2239,time_loss,4,1.2984,-2.8955,1.8397,60.86,25.43,0.9168
SLB,2017-01-18,2017-01-19,2017-01-23,66.4786,64.6947,-2.6834,-3.1834,stop,2,0.9075,-3.6186,1.4704,63.42,25.0,0.998
COO,2017-01-18,2017-01-19,2017-01-25,45.6583,45.069,-1.2906,-1.7906,time_loss,4,1.0336,-1.8867,1.9074,63.93,26.79,0.8887
GM,2017-01-25,2017-01-26,2017-01-30,32.0084,30.7779,-3.8444,-4.3444,stop,2,0.3937,-5.1706,2.1317,64.28,35.57,0.9923
ROP,2017-01-25,2017-01-26,2017-02-01,180.7748,181.1061,0.1833,-0.3167,time_loss,4,0.911,-1.3874,1.3536,64.0,28.56,0.9912
RCL,2017-01-25,2017-01-26,2017-01-26,83.8215,83.1043,-0.8557,-1.3557,stop,0,3.2671,-0.8275,1.8785,65.0,25.44,0.978
PNC,2017-01-26,2017-01-27,2017-02-02,89.1191,88.1422,-1.0961,-1.5961,time_loss,4,1.0219,-1.9285,1.8641,63.2,30.92,0.9924
HPE,2017-02-07,2017-02-08,2017-02-24,10.4718,9.7943,-6.4699,-6.9699,stop,11,5.3345,-6.4352,1.9832,60.37,28.66,0.9195
CBOE,2017-02-15,2017-02-16,2017-02-23,71.1253,71.2674,0.1998,-0.3002,time_loss,4,1.5855,-0.5992,1.5966,64.01,31.45,0.997
LRCX,2017-03-01,2017-03-02,2017-03-08,10.4745,10.4074,-0.6404,-1.1404,time_loss,4,0.4876,-1.7629,1.717,63.78,31.47,0.9951
IQV,2017-03-17,2017-03-20,2017-03-21,81.38,78.6068,-3.4077,-3.9077,stop,1,0.1475,-4.4974,1.889,61.91,31.13,0.9299
TMUS,2017-03-30,2017-03-31,2017-04-06,62.1113,59.5355,-4.1471,-4.6471,stop,4,0.6159,-4.2032,1.7772,64.91,28.36,0.9898
