ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
ECL,2012-12-06,2012-12-07,2012-12-12,62.3124,60.7209,-2.5541,-3.0541,stop,3,0.4554,-2.9947,1.4051,64.26,27.51,0.9984
CI,2013-01-15,2013-01-16,2013-01-28,50.2748,53.2786,5.9747,5.4747,target,7,6.1188,-0.8075,1.4899,64.89,25.86,0.9929
EBAY,2013-01-24,2013-01-25,2013-01-31,20.8479,20.8367,-0.0536,-0.5536,time_loss,4,1.1786,-1.2678,2.2926,64.17,26.65,0.9938
UNP,2013-03-05,2013-03-06,2013-03-07,52.3756,50.9502,-2.7215,-3.2215,stop,1,0.6,-2.6786,1.5094,64.7,31.56,0.982
KEY,2013-03-06,2013-03-07,2013-03-27,6.0387,6.1929,2.5536,2.0536,time,14,4.0858,-0.3064,1.8681,64.66,26.64,0.9707
RF,2013-03-06,2013-03-07,2013-03-27,5.2593,5.3637,1.9842,1.4842,time,14,4.7137,-0.2478,2.2824,62.69,26.48,0.9421
KO,2013-03-19,2013-03-20,2013-04-08,26.1222,26.4326,1.1884,0.6884,stop,12,3.8071,-0.1015,1.2101,64.16,27.99,0.9149
CI,2013-05-30,2013-05-31,2013-06-03,62.6943,60.6587,-3.2469,-3.7469,stop,1,0.288,-4.5212,1.7923,63.48,32.92,0.9961
CI,2013-06-11,2013-06-12,2013-06-18,63.3172,62.8839,-0.6843,-1.1843,time_loss,4,0.3422,-3.2364,1.9887,60.33,25.16,0.9841
CVX,2013-07-15,2013-07-16,2013-08-02,72.4816,72.2291,-0.3484,-0.8484,stop,13,2.5018,-1.1306,1.3475,64.74,26.04,0.9039
CI,2013-09-04,2013-09-05,2013-09-18,72.498,73.6118,1.5364,1.0364,stop,9,5.4414,-0.4483,1.6458,64.12,28.24,0.9969
COP,2013-09-06,2013-09-09,2013-09-27,44.9075,46.2629,3.0183,2.5183,time,14,4.1611,-0.293,1.3265,64.82,30.1,0.9655
BKNG,2013-11-13,2013-11-14,2013-12-05,44.3773,45.9985,3.6532,3.1532,time,14,5.8032,-2.03,2.4766,64.93,27.46,0.9968
NFLX,2013-11-26,2013-11-27,2013-12-04,5.1016,5.0896,-0.2352,-0.7352,time_loss,4,3.2315,-0.9997,3.1019,62.0,34.36,0.8921
META,2013-12-10,2013-12-11,2013-12-23,50.11,56.775,13.3008,12.8008,target,8,15.3709,-3.0465,3.345,60.6,26.13,0.8576
ABT,2014-01-03,2014-01-06,2014-01-22,30.7415,29.9455,-2.5894,-3.0894,stop,11,2.2783,-5.2143,1.2845,62.2,28.34,0.9744
